"AreaCode","AreaName","Year","FBS.mult","EDemand_p","EDemand_lb","EDemand_ub"
"1","Armenia","2007",0.852935815837133,635.66966879339,549.254999461506,721.506619109133
"1","Armenia","2008",0.892324109231964,612.466212472762,526.868801952235,699.574289251051
"1","Armenia","2009",0.926256513208274,669.166567437802,578.868732393482,756.477030342655
"1","Armenia","2010",0.881485099067195,664.567034154477,577.828942893847,748.047398456615
"1","Armenia","2011",0.90540733915221,630.934551853471,545.983165896113,713.709534407115
"1","Armenia","2012",0.862813280591545,656.715770618896,567.472420874642,743.4871956896
"10","Australia","2007",0.804947809323124,6025.42158500148,2806.8499933604,13122.2796654578
"10","Australia","2008",0.832793929462805,5989.96481063738,2691.54066613125,13295.2023040372
"10","Australia","2009",0.845870345983229,6040.52719498435,2774.9230949273,13051.1541204093
"10","Australia","2010",0.825162526389056,5858.76581042214,2575.3442113672,13022.2348789077
"10","Australia","2011",0.76908854362542,5667.9324358523,2568.32523993478,12223.2729347996
"10","Australia","2012",0.762328995121616,5733.9529613392,2643.25643730741,12236.3570981036
"100","India","2007",0.550789927656012,126.769723440526,93.8020413491562,201.488619586482
"100","India","2008",0.601335493292357,140.629118177423,104.77116622953,223.081551725078
"100","India","2009",0.561363584823653,130.9864618684,97.481998488607,208.773177400273
"100","India","2010",0.525681232389978,122.160098119728,90.8769705734052,195.471680379384
"100","India","2011",0.542414979523307,123.84652110583,92.1562696555531,198.595793659614
"100","India","2012",0.551692062842593,128.657482238409,96.0110886964745,207.022848489351
"101","Indonesia","2007",0.756842510727084,649.303232918126,521.999259218085,799.279386276566
"101","Indonesia","2008",0.763123833544266,617.173972042575,495.844021808235,761.448050464684
"101","Indonesia","2009",0.770154320951843,682.492521665142,547.681197653074,838.669787772361
"101","Indonesia","2010",0.751924757018726,695.533613517578,558.85489388683,853.305456891161
"101","Indonesia","2011",0.747420013501755,776.208333357881,622.948566179013,948.083834074262
"101","Indonesia","2012",0.753228812588967,850.911621063787,683.221006536415,1033.46849091467
"102","Iran.(Islamic.Republic.of)","2007",0.81618836633232,1604.12157773508,1410.28105307931,1762.98292978392
"102","Iran.(Islamic.Republic.of)","2008",0.800390502808485,1684.46766753236,1477.18537890248,1852.52240541849
"102","Iran.(Islamic.Republic.of)","2009",0.804688746011275,2034.74394648116,1786.64050498004,2234.71464417042
"102","Iran.(Islamic.Republic.of)","2010",0.776095619365825,1950.22192911387,1709.40403583662,2144.04007005205
"102","Iran.(Islamic.Republic.of)","2011",0.721896336614941,1819.45008217932,1594.97602215351,1999.34710622415
"102","Iran.(Islamic.Republic.of)","2012",0.823849499354165,2122.07848795929,1859.33464588273,2331.15421889062
"103","Iraq","2007",0.948371636159566,283.709628688434,240.212811974507,321.539541734167
"103","Iraq","2008",0.922610876589426,196.832576580489,161.862769707437,236.305982972534
"103","Iraq","2009",0.786864410830916,167.847125321213,131.201631013217,224.619192384357
"103","Iraq","2010",0.898963333163629,229.463730708488,180.902043391265,300.993251661658
"103","Iraq","2011",0.939372551142309,281.952043348751,224.456039422223,362.922181355311
"103","Iraq","2012",0.883472018752876,263.276305464742,209.030763675162,340.746640255946
"104","Ireland","2007",0.435515457580798,4605.43846733183,2546.97746919949,8450.87406993248
"104","Ireland","2008",0.479858579888379,4932.02866846052,2664.74706161835,9190.29753566147
"104","Ireland","2009",0.4417420788882,4391.9039521707,2424.05225651047,8086.18081751516
"104","Ireland","2010",0.362186244771444,3417.7626556426,2010.49096752631,6007.3891427935
"104","Ireland","2011",0.394174685391831,3810.22726667966,2229.58355430366,6718.59235436942
"104","Ireland","2012",0.324703149783582,3181.93900648887,1825.23084767645,5702.99600793368
"105","Israel","2007",0.722489769582186,2737.41847956074,2018.04425276013,3390.01664214947
"105","Israel","2008",0.825781032121534,3016.69942583139,2188.04691771358,3750.38574363294
"105","Israel","2009",0.782158237198982,2790.62763963709,2040.5996845748,3473.19740564559
"105","Israel","2010",0.733321202411289,2674.61607845714,1960.13768973973,3282.30866927221
"105","Israel","2011",0.786406032723553,2759.44110953663,2043.15536313748,3375.74465565052
"105","Israel","2012",0.707676315875139,2419.83096053777,1780.2576831406,2967.86822215629
"106","Italy","2007",0.666091147778256,2833.59758570585,2419.99677749072,3147.90235277276
"106","Italy","2008",0.682638890626568,2942.65409466631,2519.37014109647,3259.57284151818
"106","Italy","2009",0.623304913063282,2656.60683277238,2286.31243137777,2935.69384650771
"106","Italy","2010",0.647423141664024,2707.81898143291,2354.25804693495,2981.43099369765
"106","Italy","2011",0.665357788349079,2864.72852161233,2497.96864551937,3151.12353117061
"106","Italy","2012",0.668659142265672,2885.32334913276,2497.10766307807,3172.3604076768
"107","Côte.d'Ivoire","2007",0.485346947760694,143.395975675134,110.753426221127,179.544162593489
"107","Côte.d'Ivoire","2008",0.652191736570433,188.912619968103,145.761522249855,236.656509353372
"107","Côte.d'Ivoire","2009",0.685808406139807,200.185614319878,154.181387620163,250.580125005536
"107","Côte.d'Ivoire","2010",0.715873725641552,265.12761274446,205.153117413509,327.225818640375
"107","Côte.d'Ivoire","2011",0.622822457270797,219.520564950957,169.453296739368,271.143803788462
"107","Côte.d'Ivoire","2012",0.830497050932672,350.544980587666,271.160640676609,429.242943670474
"108","Kazakhstan","2007",0.884092911057272,971.045448677919,680.502551244824,2322.58631109282
"108","Kazakhstan","2008",0.907479085723721,1032.49239545628,723.844014951926,2429.07185863356
"108","Kazakhstan","2009",0.896101210171741,1067.93425907539,758.316760769543,2437.14778403238
"108","Kazakhstan","2010",0.881111225521765,1113.28149055975,797.301877235277,2470.97564342492
"108","Kazakhstan","2011",0.895170640157352,1071.60672965779,784.701743779937,2277.37680094092
"108","Kazakhstan","2012",0.862363437644388,978.48260966676,705.940110507058,2195.44043446834
"109","Jamaica","2007",0.840537196177502,1357.38286500965,1230.0905511908,1468.52876860761
"109","Jamaica","2008",0.839445731651113,1383.04274494426,1247.90987577365,1502.60617069068
