AreaCode,Year,EDemand
1,2007,3118.176504
1,2008,2868.55628
1,2009,3019.63127
1,2010,3151.241837
1,2011,2907.084401
1,2012,3172.216394
10,2007,31318.85895
10,2007,31318.85895
10,2008,30093.63395
10,2008,30093.63395
10,2009,29920.17896
10,2009,29920.17896
10,2010,29702.01141
10,2010,29702.01141
10,2011,30839.4805
10,2011,30839.4805
10,2012,31383.86562
10,2012,31383.86562
100,2007,962.3679931
100,2007,962.3679931
100,2008,1022.995539
100,2008,1022.995539
100,2009,1073.058289
100,2009,1073.058289
100,2010,1135.500266
100,2010,1135.500266
100,2011,1177.329058
100,2011,1177.329058
100,2012,1199.166157
100,2012,1199.166157
101,2007,3589.637739
101,2007,3589.637739
101,2008,3383.824505
101,2008,3383.824505
101,2009,3707.719214
101,2009,3707.719214
101,2010,3870.363764
101,2010,3870.363764
101,2011,4345.284357
101,2011,4345.284357
101,2012,4725.571925
101,2012,4725.571925
102,2007,8223.287663
102,2007,8223.287663
102,2008,8891.791092
102,2008,8891.791092
102,2009,10535.81226
102,2009,10535.81226
102,2010,10470.31198
102,2010,10470.31198
102,2011,10127.55849
102,2011,10127.55849
102,2012,10493.35614
102,2012,10493.35614
103,2007,1309.376293
103,2007,1309.376293
103,2008,950.6614253
103,2008,950.6614253
103,2009,931.653802
103,2009,931.653802
103,2010,1102.586727
103,2010,1102.586727
103,2011,1262.749925
103,2011,1262.749925
103,2012,1268.53393
103,2012,1268.53393
104,2007,44289.59764
104,2008,43041.05101
104,2009,41635.37046
104,2010,39525.58771
104,2011,40295.6298
104,2012,40316.50969
105,2007,15427.81378
105,2007,15427.81378
105,2008,14920.8038
105,2008,14920.8038
105,2009,14552.80949
105,2009,14552.80949
105,2010,14882.94043
105,2010,14882.94043
105,2011,14301.0027
105,2011,14301.0027
105,2012,13932.21605
105,2012,13932.21605
106,2007,17798.98522
106,2008,18035.81746
106,2009,17832.98057
106,2010,17501.87368
106,2011,17893.09171
106,2012,17889.74049
107,2007,1236.244202
107,2007,1236.244202
107,2008,1211.711653
107,2008,1211.711653
107,2009,1224.961166
107,2009,1224.961166
107,2010,1559.354382
107,2010,1559.354382
107,2011,1476.337696
